Visitor,Order,Customer,Device,Date,Rate,Source
124930,588,Undetermined,Desktop,3/3/2019,0.004706635716000961,Undetermined Desktop
86839,1196,Customer,Mobile Phone,3/3/2019,0.01377261368739852,Customer Mobile Phone
19324,47,Undetermined,Tablet,3/3/2019,0.0024322086524529085,Undetermined Tablet
16062,467,Customer,Tablet,3/3/2019,0.02907483501431951,Customer Tablet
123865,3897,Customer,Desktop,3/3/2019,0.03146167198159286,Customer Desktop
23754,107,Prospect,Mobile Phone,3/3/2019,0.0045045045045045045,Prospect Mobile Phone
3524,10,Prospect,Tablet,3/3/2019,0.002837684449489217,Prospect Tablet
16631,95,Prospect,Desktop,3/3/2019,0.0057122241597017615,Prospect Desktop
207942,249,Undetermined,Mobile Phone,2/10/2019,0.0011974492887439766,Undetermined Mobile Phone
140591,353,Undetermined,Desktop,2/10/2019,0.0025108292849471163,Undetermined Desktop
86474,871,Customer,Mobile Phone,2/10/2019,0.010072391701551912,Customer Mobile Phone
25654,47,Undetermined,Tablet,2/10/2019,0.0018320729710766352,Undetermined Tablet
16178,405,Customer,Tablet,2/10/2019,0.02503399678575844,Customer Tablet
113659,2910,Customer,Desktop,2/10/2019,0.02560289990233945,Customer Desktop
24476,87,Prospect,Mobile Phone,2/10/2019,0.0035545023696682467,Prospect Mobile Phone
4433,8,Prospect,Tablet,2/10/2019,0.0018046469659372887,Prospect Tablet
18867,86,Prospect,Desktop,2/10/2019,0.0045582233529442955,Prospect Desktop
19228,123,Prospect,Desktop,3/11/2019,0.006396921156646557,Prospect Desktop
162171,290,Undetermined,Mobile Phone,3/11/2019,0.0017882358744781745,Undetermined Mobile Phone
151662,705,Undetermined,Desktop,3/11/2019,0.004648494678957155,Undetermined Desktop
78720,809,Customer,Mobile Phone,3/11/2019,0.010276930894308943,Customer Mobile Phone
17411,36,Undetermined,Tablet,3/11/2019,0.0020676583768881747,Undetermined Tablet
13290,326,Customer,Tablet,3/11/2019,0.02452972159518435,Customer Tablet
163301,3991,Customer,Desktop,3/11/2019,0.024439531907336758,Customer Desktop
21013,102,Prospect,Mobile Phone,3/11/2019,0.004854137914624281,Prospect Mobile Phone
2957,9,Prospect,Tablet,3/11/2019,0.003043625295908015,Prospect Tablet
2844,4,Prospect,Tablet,2/5/2019,0.0014064697609001409,Prospect Tablet
18790,82,Prospect,Desktop,2/5/2019,0.004364023416711015,Prospect Desktop
176346,272,Undetermined,Mobile Phone,2/5/2019,0.00154242228346546,Undetermined Mobile Phone
160267,556,Undetermined,Desktop,2/5/2019,0.003469210754553339,Undetermined Desktop
77440,795,Customer,Mobile Phone,2/5/2019,0.010266012396694215,Customer Mobile Phone
21429,41,Undetermined,Tablet,2/5/2019,0.0019132950674319847,Undetermined Tablet
13388,307,Customer,Tablet,2/5/2019,0.022930982969823724,Customer Tablet
152234,3558,Customer,Desktop,2/5/2019,0.023371914289843268,Customer Desktop
16361,78,Prospect,Mobile Phone,2/5/2019,0.004767434753376933,Prospect Mobile Phone
79729,936,Customer,Mobile Phone,3/16/2019,0.011739768465677482,Customer Mobile Phone
20986,56,Undetermined,Tablet,3/16/2019,0.00266844563042028,Undetermined Tablet
14494,405,Customer,Tablet,3/16/2019,0.02794259693666345,Customer Tablet
118499,3364,Customer,Desktop,3/16/2019,0.02838842521877822,Customer Desktop
21711,91,Prospect,Mobile Phone,3/16/2019,0.004191423702270739,Prospect Mobile Phone
3358,6,Prospect,Tablet,3/16/2019,0.0017867778439547351,Prospect Tablet
15337,95,Prospect,Desktop,3/16/2019,0.006194170959118472,Prospect Desktop
169425,255,Undetermined,Mobile Phone,3/16/2019,0.0015050907481186364,Undetermined Mobile Phone
135771,505,Undetermined,Desktop,3/16/2019,0.00371949827282704,Undetermined Desktop
15064,386,Customer,Tablet,3/10/2019,0.02562400424853957,Customer Tablet
112555,3033,Customer,Desktop,3/10/2019,0.026946825996179646,Customer Desktop
21713,82,Prospect,Mobile Phone,3/10/2019,0.003776539400359232,Prospect Mobile Phone
3290,10,Prospect,Tablet,3/10/2019,0.00303951367781155,Prospect Tablet
13107,72,Prospect,Desktop,3/10/2019,0.005493247882810711,Prospect Desktop
159871,245,Undetermined,Mobile Phone,3/10/2019,0.001532485566487981,Undetermined Mobile Phone
111532,544,Undetermined,Desktop,3/10/2019,0.004877523939317864,Undetermined Desktop
80212,880,Customer,Mobile Phone,3/10/2019,0.010970927043335162,Customer Mobile Phone
19688,54,Undetermined,Tablet,3/10/2019,0.0027427874847622924,Undetermined Tablet
131073,3815,Customer,Desktop,3/2/2019,0.02910591807618655,Customer Desktop
24743,118,Prospect,Mobile Phone,3/2/2019,0.00476902558299317,Prospect Mobile Phone
3449,12,Prospect,Tablet,3/2/2019,0.0034792693534357786,Prospect Tablet
16990,109,Prospect,Desktop,3/2/2019,0.0064155385520894646,Prospect Desktop
179557,330,Undetermined,Mobile Phone,3/2/2019,0.0018378565023919981,Undetermined Mobile Phone
128910,613,Undetermined,Desktop,3/2/2019,0.00475525560468544,Undetermined Desktop
96279,1251,Customer,Mobile Phone,3/2/2019,0.012993487676440344,Customer Mobile Phone
20217,56,Undetermined,Tablet,3/2/2019,0.002769946084977989,Undetermined Tablet
16966,556,Customer,Tablet,3/2/2019,0.032771425203347866,Customer Tablet
3191,5,Prospect,Tablet,2/7/2019,0.0015669069257286115,Prospect Tablet
19949,95,Prospect,Desktop,2/7/2019,0.0047621434658378856,Prospect Desktop
199045,314,Undetermined,Mobile Phone,2/7/2019,0.0015775327187319448,Undetermined Mobile Phone
167437,534,Undetermined,Desktop,2/7/2019,0.00318925924377527,Undetermined Desktop
93770,998,Customer,Mobile Phone,2/7/2019,0.010643062813266504,Customer Mobile Phone
24334,42,Undetermined,Tablet,2/7/2019,0.001725980110133969,Undetermined Tablet
14759,309,Customer,Tablet,2/7/2019,0.020936377803374213,Customer Tablet
157491,3927,Customer,Desktop,2/7/2019,0.024934758176657714,Customer Desktop
17452,85,Prospect,Mobile Phone,2/7/2019,0.0048705019482007785,Prospect Mobile Phone
20201,88,Prospect,Mobile Phone,3/19/2019,0.00435621998910945,Prospect Mobile Phone
3071,8,Prospect,Tablet,3/19/2019,0.0026050146532074245,Prospect Tablet
19697,110,Prospect,Desktop,3/19/2019,0.005584606792912626,Prospect Desktop
137946,342,Undetermined,Mobile Phone,3/19/2019,0.0024792310034361274,Undetermined Mobile Phone
155500,750,Undetermined,Desktop,3/19/2019,0.00482315112540193,Undetermined Desktop
84161,688,Customer,Mobile Phone,3/19/2019,0.008174807808842575,Customer Mobile Phone
15456,67,Undetermined,Tablet,3/19/2019,0.004334886128364389,Undetermined Tablet
13839,317,Customer,Tablet,3/19/2019,0.02290627935544476,Customer Tablet
160420,4151,Customer,Desktop,3/19/2019,0.025875825956863236,Customer Desktop
140771,4077,Customer,Desktop,3/25/2019,0.028961931079554738,Customer Desktop
28191,130,Prospect,Mobile Phone,3/25/2019,0.004611400801674293,Prospect Mobile Phone
3597,11,Prospect,Tablet,3/25/2019,0.003058103975535168,Prospect Tablet
17570,129,Prospect,Desktop,3/25/2019,0.007342060330108139,Prospect Desktop
211886,363,Undetermined,Mobile Phone,3/25/2019,0.0017131853921448323,Undetermined Mobile Phone
116726,613,Undetermined,Desktop,3/25/2019,0.005251614892997276,Undetermined Desktop
93418,850,Customer,Mobile Phone,3/25/2019,0.009098888865100943,Customer Mobile Phone
19895,45,Undetermined,Tablet,3/25/2019,0.0022618748429253576,Undetermined Tablet
14217,327,Customer,Tablet,3/25/2019,0.023000633044946192,Customer Tablet
146228,3982,Customer,Desktop,2/11/2019,0.027231446781738108,Customer Desktop
22494,97,Prospect,Mobile Phone,2/11/2019,0.004312261047390415,Prospect Mobile Phone
4135,13,Prospect,Tablet,2/11/2019,0.003143893591293833,Prospect Tablet
23133,102,Prospect,Desktop,2/11/2019,0.0044092854363895735,Prospect Desktop
208457,250,Undetermined,Mobile Phone,2/11/2019,0.0011992881025823072,Undetermined Mobile Phone
176326,528,Undetermined,Desktop,2/11/2019,0.002994453455531232,Undetermined Desktop
78626,816,Customer,Mobile Phone,2/11/2019,0.01037824638160405,Customer Mobile Phone
24423,41,Undetermined,Tablet,2/11/2019,0.001678745444867543,Undetermined Tablet
13255,288,Customer,Tablet,2/11/2019,0.021727649943417582,Customer Tablet
21460,125,Prospect,Desktop,3/5/2019,0.005824790307548928,Prospect Desktop
160405,309,Undetermined,Mobile Phone,3/5/2019,0.0019263738661513046,Undetermined Mobile Phone
160582,665,Undetermined,Desktop,3/5/2019,0.00414118643434507,Undetermined Desktop
80715,931,Customer,Mobile Phone,3/5/2019,0.011534411199900884,Customer Mobile Phone
17879,50,Undetermined,Tablet,3/5/2019,0.0027965769897645284,Undetermined Tablet
13119,356,Customer,Tablet,3/5/2019,0.027136214650506897,Customer Tablet
162106,4505,Customer,Desktop,3/5/2019,0.027790458095320342,Customer Desktop
20451,99,Prospect,Mobile Phone,3/5/2019,0.004840839078773654,Prospect Mobile Phone
2817,10,Prospect,Tablet,3/5/2019,0.0035498757543485976,Prospect Tablet
79075,787,Customer,Mobile Phone,2/6/2019,0.00995257666772052,Customer Mobile Phone
22085,37,Undetermined,Tablet,2/6/2019,0.0016753452569617387,Undetermined Tablet
13652,264,Customer,Tablet,2/6/2019,0.019337825959566363,Customer Tablet
150209,3329,Customer,Desktop,2/6/2019,0.02216245364791724,Customer Desktop
19504,106,Prospect,Mobile Phone,2/6/2019,0.005434782608695652,Prospect Mobile Phone
3428,7,Prospect,Tablet,2/6/2019,0.002042007001166861,Prospect Tablet
21437,98,Prospect,Desktop,2/6/2019,0.004571535196156179,Prospect Desktop
171252,279,Undetermined,Mobile Phone,2/6/2019,0.0016291780533949968,Undetermined Mobile Phone
155046,535,Undetermined,Desktop,2/6/2019,0.003450588857500355,Undetermined Desktop
94438,3081,Customer,Desktop,3/23/2019,0.03262457908892607,Customer Desktop
27964,102,Prospect,Mobile Phone,3/23/2019,0.0036475468459447854,Prospect Mobile Phone
3694,8,Prospect,Tablet,3/23/2019,0.002165674066053059,Prospect Tablet
12046,62,Prospect,Desktop,3/23/2019,0.005146936742487133,Prospect Desktop
228567,344,Undetermined,Mobile Phone,3/23/2019,0.0015050291599399738,Undetermined Mobile Phone
83569,282,Undetermined,Desktop,3/23/2019,0.003374457035503596,Undetermined Desktop
99720,951,Customer,Mobile Phone,3/23/2019,0.0095367027677497,Customer Mobile Phone
23609,52,Undetermined,Tablet,3/23/2019,0.0022025498750476514,Undetermined Tablet
16224,416,Customer,Tablet,3/23/2019,0.02564102564102564,Customer Tablet
97140,1207,Customer,Mobile Phone,2/27/2019,0.012425365451925055,Customer Mobile Phone
20483,59,Undetermined,Tablet,2/27/2019,0.0028804374359224717,Undetermined Tablet
13761,370,Customer,Tablet,2/27/2019,0.026887580844415376,Customer Tablet
160627,4469,Customer,Desktop,2/27/2019,0.027822221668835245,Customer Desktop
20778,147,Prospect,Mobile Phone,2/27/2019,0.0070747906439503315,Prospect Mobile Phone
2816,8,Prospect,Tablet,2/27/2019,0.002840909090909091,Prospect Tablet
19058,139,Prospect,Desktop,2/27/2019,0.007293525028859272,Prospect Desktop
206058,552,Undetermined,Mobile Phone,2/27/2019,0.002678857409078997,Undetermined Mobile Phone
171731,975,Undetermined,Desktop,2/27/2019,0.005677483972026018,Undetermined Desktop
231106,435,Undetermined,Mobile Phone,3/22/2019,0.001882253165214231,Undetermined Mobile Phone
113672,472,Undetermined,Desktop,3/22/2019,0.004152297839397565,Undetermined Desktop
104594,947,Customer,Mobile Phone,3/22/2019,0.009054056638048072,Customer Mobile Phone
21237,94,Undetermined,Tablet,3/22/2019,0.0044262372274803405,Undetermined Tablet
17231,314,Customer,Tablet,3/22/2019,0.0182229702280773,Customer Tablet
141618,3812,Customer,Desktop,3/22/2019,0.02691748224095807,Customer Desktop
22989,109,Prospect,Mobile Phone,3/22/2019,0.004741398059941711,Prospect Mobile Phone
3099,14,Prospect,Tablet,3/22/2019,0.00451758631816715,Prospect Tablet
16244,98,Prospect,Desktop,3/22/2019,0.006032996798818025,Prospect Desktop
148401,743,Undetermined,Desktop,3/1/2019,0.005006704806571384,Undetermined Desktop
100142,1138,Customer,Mobile Phone,3/1/2019,0.011363863314093987,Customer Mobile Phone
18099,61,Undetermined,Tablet,3/1/2019,0.0033703519531465827,Undetermined Tablet
16156,383,Customer,Tablet,3/1/2019,0.023706362961128997,Customer Tablet
173188,4778,Customer,Desktop,3/1/2019,0.027588516525394367,Customer Desktop
23633,166,Prospect,Mobile Phone,3/1/2019,0.007024076503194685,Prospect Mobile Phone
3314,14,Prospect,Tablet,3/1/2019,0.004224502112251056,Prospect Tablet
21022,137,Prospect,Desktop,3/1/2019,0.006516982209114262,Prospect Desktop
178163,364,Undetermined,Mobile Phone,3/1/2019,0.002043072916374332,Undetermined Mobile Phone
22261,137,Prospect,Mobile Phone,2/28/2019,0.006154260814878038,Prospect Mobile Phone
2891,7,Prospect,Tablet,2/28/2019,0.0024213075060532693,Prospect Tablet
17938,122,Prospect,Desktop,2/28/2019,0.006801204147619579,Prospect Desktop
172959,431,Undetermined,Mobile Phone,2/28/2019,0.002491920050416573,Undetermined Mobile Phone
159513,906,Undetermined,Desktop,2/28/2019,0.005679787854281469,Undetermined Desktop
83127,899,Customer,Mobile Phone,2/28/2019,0.010814777388814706,Customer Mobile Phone
17795,61,Undetermined,Tablet,2/28/2019,0.0034279291935937067,Undetermined Tablet
12091,310,Customer,Tablet,2/28/2019,0.02563890497063932,Customer Tablet
152206,4046,Customer,Desktop,2/28/2019,0.026582394912158518,Customer Desktop
124472,600,Undetermined,Desktop,3/20/2019,0.004820361205733015,Undetermined Desktop
108307,806,Customer,Mobile Phone,3/20/2019,0.00744180893201732,Customer Mobile Phone
18891,91,Undetermined,Tablet,3/20/2019,0.004817108676089143,Undetermined Tablet
15423,361,Customer,Tablet,3/20/2019,0.023406600531673483,Customer Tablet
141595,3892,Customer,Desktop,3/20/2019,0.02748684628694516,Customer Desktop
20153,84,Prospect,Mobile Phone,3/20/2019,0.004168113928447377,Prospect Mobile Phone
2772,12,Prospect,Tablet,3/20/2019,0.004329004329004329,Prospect Tablet
15881,96,Prospect,Desktop,3/20/2019,0.0060449593854291295,Prospect Desktop
196609,424,Undetermined,Mobile Phone,3/20/2019,0.0021565645519788005,Undetermined Mobile Phone
171400,4853,Customer,Desktop,3/4/2019,0.02831388564760793,Customer Desktop
23459,120,Prospect,Mobile Phone,3/4/2019,0.005115307557866917,Prospect Mobile Phone
3155,14,Prospect,Tablet,3/4/2019,0.0044374009508716325,Prospect Tablet
22435,131,Prospect,Desktop,3/4/2019,0.005839090706485402,Prospect Desktop
165571,323,Undetermined,Mobile Phone,3/4/2019,0.0019508247217205914,Undetermined Mobile Phone
163578,743,Undetermined,Desktop,3/4/2019,0.004542175598185575,Undetermined Desktop
83807,999,Customer,Mobile Phone,3/4/2019,0.011920245325569463,Customer Mobile Phone
17209,54,Undetermined,Tablet,3/4/2019,0.0031378929629844853,Undetermined Tablet
13987,372,Customer,Tablet,3/4/2019,0.02659612497318939,Customer Tablet
2491,12,Prospect,Tablet,3/15/2019,0.004817342432757929,Prospect Tablet
17123,103,Prospect,Desktop,3/15/2019,0.006015301057057759,Prospect Desktop
165910,340,Undetermined,Mobile Phone,3/15/2019,0.002049303839431017,Undetermined Mobile Phone
162931,600,Undetermined,Desktop,3/15/2019,0.003682540461913325,Undetermined Desktop
79729,876,Customer,Mobile Phone,3/15/2019,0.01098721920505713,Customer Mobile Phone
18670,50,Undetermined,Tablet,3/15/2019,0.002678093197643278,Undetermined Tablet
14116,322,Customer,Tablet,3/15/2019,0.022810994616038537,Customer Tablet
164170,4061,Customer,Desktop,3/15/2019,0.02473655357251629,Customer Desktop
16411,96,Prospect,Mobile Phone,3/15/2019,0.0058497349338858095,Prospect Mobile Phone
153677,3289,Customer,Desktop,2/15/2019,0.021402031533671272,Customer Desktop
20868,97,Prospect,Mobile Phone,2/15/2019,0.004648265286563159,Prospect Mobile Phone
3739,9,Prospect,Tablet,2/15/2019,0.0024070607114201658,Prospect Tablet
22247,113,Prospect,Desktop,2/15/2019,0.005079336539758171,Prospect Desktop
185715,294,Undetermined,Mobile Phone,2/15/2019,0.0015830708343429448,Undetermined Mobile Phone
159781,554,Undetermined,Desktop,2/15/2019,0.003467245792678729,Undetermined Desktop
85510,851,Customer,Mobile Phone,2/15/2019,0.009952052391533154,Customer Mobile Phone
20734,59,Undetermined,Tablet,2/15/2019,0.002845567666634513,Undetermined Tablet
14192,341,Customer,Tablet,2/15/2019,0.02402762119503946,Customer Tablet
3079,10,Prospect,Tablet,2/26/2019,0.003247807729782397,Prospect Tablet
22334,104,Prospect,Desktop,2/26/2019,0.004656577415599534,Prospect Desktop
188153,398,Undetermined,Mobile Phone,2/26/2019,0.002115299782623716,Undetermined Mobile Phone
163959,729,Undetermined,Desktop,2/26/2019,0.0044462335095969115,Undetermined Desktop
98984,925,Customer,Mobile Phone,2/26/2019,0.009344944637517177,Customer Mobile Phone
18940,47,Undetermined,Tablet,2/26/2019,0.002481520591341077,Undetermined Tablet
13496,350,Customer,Tablet,2/26/2019,0.025933609958506226,Customer Tablet
161411,3799,Customer,Desktop,2/26/2019,0.023536190222475543,Customer Desktop
23473,119,Prospect,Mobile Phone,2/26/2019,0.005069654496655732,Prospect Mobile Phone
10996,86,Prospect,Desktop,3/30/2019,0.007821025827573663,Prospect Desktop
253532,411,Undetermined,Mobile Phone,3/30/2019,0.0016210971396115675,Undetermined Mobile Phone
84151,378,Undetermined,Desktop,3/30/2019,0.004491925229646707,Undetermined Desktop
108058,1050,Customer,Mobile Phone,3/30/2019,0.009717003831275795,Customer Mobile Phone
23696,62,Undetermined,Tablet,3/30/2019,0.002616475354490209,Undetermined Tablet
16125,464,Customer,Tablet,3/30/2019,0.028775193798449613,Customer Tablet
92489,2879,Customer,Desktop,3/30/2019,0.03112802603552855,Customer Desktop
29662,111,Prospect,Mobile Phone,3/30/2019,0.003742161688355472,Prospect Mobile Phone
3854,5,Prospect,Tablet,3/30/2019,0.0012973533990659055,Prospect Tablet
285902,1411,Undetermined,Mobile Phone,3/8/2019,0.00493525753579898,Undetermined Mobile Phone
351146,5187,Undetermined,Desktop,3/8/2019,0.014771633451612719,Undetermined Desktop
36927,407,Undetermined,Tablet,3/8/2019,0.011021745606196008,Undetermined Tablet
152603,3475,Customer,Desktop,2/13/2019,0.02277150514734311,Customer Desktop
21427,110,Prospect,Mobile Phone,2/13/2019,0.005133709805385728,Prospect Mobile Phone
3924,16,Prospect,Tablet,2/13/2019,0.004077471967380225,Prospect Tablet
22727,95,Prospect,Desktop,2/13/2019,0.004180050160601927,Prospect Desktop
181897,280,Undetermined,Mobile Phone,2/13/2019,0.0015393326992748644,Undetermined Mobile Phone
168143,649,Undetermined,Desktop,2/13/2019,0.003859809804749529,Undetermined Desktop
83362,767,Customer,Mobile Phone,2/13/2019,0.009200834912790001,Customer Mobile Phone
20899,50,Undetermined,Tablet,2/13/2019,0.002392458969328676,Undetermined Tablet
13628,267,Customer,Tablet,2/13/2019,0.019592016436747867,Customer Tablet
13915,265,Customer,Tablet,2/19/2019,0.01904419690980956,Customer Tablet
150879,3385,Customer,Desktop,2/19/2019,0.02243519641567084,Customer Desktop
15405,75,Prospect,Mobile Phone,2/19/2019,0.00486854917234664,Prospect Mobile Phone
2941,3,Prospect,Tablet,2/19/2019,0.0010200612036722202,Prospect Tablet
18469,66,Prospect,Desktop,2/19/2019,0.0035735556879094702,Prospect Desktop
181657,330,Undetermined,Mobile Phone,2/19/2019,0.0018166104251418878,Undetermined Mobile Phone
169224,882,Undetermined,Desktop,2/19/2019,0.0052120266628846975,Undetermined Desktop
89765,730,Customer,Mobile Phone,2/19/2019,0.008132345568985684,Customer Mobile Phone
20888,70,Undetermined,Tablet,2/19/2019,0.003351206434316354,Undetermined Tablet
2103,31,Customer,Desktop,3/27/2019,0.014740846409890632,Customer Desktop
1382,3,Prospect,Mobile Phone,3/27/2019,0.002170767004341534,Prospect Mobile Phone
142,0,Prospect,Tablet,3/27/2019,0.0,Prospect Tablet
584,0,Prospect,Desktop,3/27/2019,0.0,Prospect Desktop
354743,1506,Undetermined,Mobile Phone,3/27/2019,0.004245326898628021,Undetermined Mobile Phone
263239,4361,Undetermined,Desktop,3/27/2019,0.016566694144864554,Undetermined Desktop
3668,24,Customer,Mobile Phone,3/27/2019,0.006543075245365322,Customer Mobile Phone
38170,406,Undetermined,Tablet,3/27/2019,0.0106366256222164,Undetermined Tablet
413,2,Customer,Tablet,3/27/2019,0.004842615012106539,Customer Tablet
22154,90,Prospect,Desktop,2/14/2019,0.004062471788390358,Prospect Desktop
174687,262,Undetermined,Mobile Phone,2/14/2019,0.0014998254020047285,Undetermined Mobile Phone
157083,576,Undetermined,Desktop,2/14/2019,0.00366685128244304,Undetermined Desktop
82352,690,Customer,Mobile Phone,2/14/2019,0.008378667184767825,Customer Mobile Phone
19510,29,Undetermined,Tablet,2/14/2019,0.001486417221937468,Undetermined Tablet
13313,259,Customer,Tablet,2/14/2019,0.019454668369263125,Customer Tablet
144290,3114,Customer,Desktop,2/14/2019,0.0215815371820639,Customer Desktop
20957,95,Prospect,Mobile Phone,2/14/2019,0.004533091568449683,Prospect Mobile Phone
3754,15,Prospect,Tablet,2/14/2019,0.003995737879595097,Prospect Tablet
5172,25,Prospect,Desktop,3/28/2019,0.004833720030935807,Prospect Desktop
340539,1240,Undetermined,Mobile Phone,3/28/2019,0.0036412863137555455,Undetermined Mobile Phone
225137,3203,Undetermined,Desktop,3/28/2019,0.014226892958509709,Undetermined Desktop
32990,265,Customer,Mobile Phone,3/28/2019,0.008032737193088816,Customer Mobile Phone
35277,296,Undetermined,Tablet,3/28/2019,0.008390736173710917,Undetermined Tablet
4031,48,Customer,Tablet,3/28/2019,0.011907715207144629,Customer Tablet
44397,964,Customer,Desktop,3/28/2019,0.02171317881838863,Customer Desktop
6813,31,Prospect,Mobile Phone,3/28/2019,0.0045501247614853964,Prospect Mobile Phone
804,1,Prospect,Tablet,3/28/2019,0.0012437810945273634,Prospect Tablet
